id,title,author,year
du-bois-darkwater,Darkwater: Voices from within the Veil,W. E. B. Du Bois,1920.0
freud-dream-psychology,Dream Psychology: Psychoanalysis for Beginners,Sigmund Freud,1920.0
pound-instigations-ezra-pound,Instigations of Ezra Pound,Ezra Pound and Ernest Fenollosa,1920.0
chekhov-letters-tchehov-family,Letters of Tchehov to His Family and Friends,Anton Chekhov,1920.0
dell-moon-calf,Moon-Calf,Floyd Dell,1920.0
jones-samuel-butler,Samuel Butler,Henry Festing Jones,1920.0
wharton-age-innocence,The Age of Innocence,Edith Wharton,1920.0
lindsay-daniel-jazz-poems,The Daniel Jazz and Other Poems,Vachel Lindsay,1920.0
wells-outline-history,The Outline of History,H. G. Wells,1920.0
eliot-sacred-wood-essays,The Sacred Wood: Essays on Poetry and Criticism,T. S. Eliot,1920.0
fitzgerald-side-paradise,This Side of Paradise,F. Scott Fitzgerald,1920.0
shaw-back-methuselah-metabiological,Back to Methuselah (A Metabiological Pentateuch),George Bernard Shaw,1921.0
eastman-enjoyment-poetry,Enjoyment of Poetry,Max Eastman,1921.0
kaye-smith-joanna-godden,Joanna Godden,Sheila Kaye-Smith,1921.0
lawrence-psychoanalysis-unconscious,Psychoanalysis and the Unconscious,D. H. Lawrence,1921.0
byron-lord-byrons-correspondence,Lord Byron's Correspondence,George Gordon Byron Byron,1922.0
frank-rahab,Rahab,Waldo Frank,1922.0
bell-since-cezanne,Since Cézanne,Clive Bell,1922.0
jameson-clash,The Clash,Storm Jameson,1922.0
cummings-enormous-room,The Enormous Room,E. E. Cummings,1922.0
leskov-sentry-stories,The Sentry and Other Stories,Nikola Semyonovich Leskov,1922.0
snaith-van-roon,The Van Roon,J. C. Snaith,1922.0
wells-washington-hope-peace,Washington and the Hope of Peace,H. G. Wells,1922.0
mencken-book-burlesques,A Book of Burlesques,H. L. Mencken,1923.0
ponsonby-english-diaries,English Diaries,Arthur Ponsonby,1923.0
mansfield-doves-nest-stories,The Doves' Nest and Other Stories,Katherine Mansfield,1923.0
oneill-hairy-ape,The Hairy Ape,Eugene O'Neill,1923.0
twain-mark-twains-autobiography,Mark Twain's Autobiography,Mark Twain,1924.0
masefield-sard-harker,Sard Harker,John Masefield,1924.0
austen-lady-susan,Lady Susan,Jane Austen,1925.0
shakespeare-shakespeare,Shakespeare,William Shakespeare,
poe-works-edgar-allan,The Works of Edgar Allan Poe,Edgar Allan Poe,
