item_id,score,type,subscription_period,subscription_start,subscription_end,member_id
norris-shanghaied,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
macaulay-potterism,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
yeats-plays,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-youth-narrative,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wharton-glimpses-moon,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shaw-cashel-byrons-profession,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
moore-mummers-wife,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
goldsmith-vicar-wakefield,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wassermann-worlds-illusion,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
smith-trivia,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wilde-profundis,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hardy-collected-poems-thomas,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dell-moon-calf,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
walpole-captives-novel-four,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
monro-contemporary-poets,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
moore-untilled-field,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
james-awkward-age,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shaw-irrational-knot,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-nigger-narcissus,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dane-regiment-women,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
meredith-lord-ormont-aminta,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-man-property-forsyte,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-saints-progress,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
thackeray-newcomes,7.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-tono-bungay,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
james-american,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bridges-poetical-works,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
burney-evelina-history-young,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
pound-pavannes-divisions,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
merrick-chair-boulevard,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
davies-autobiography-super-tramp,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-fraternity,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
pound-instigations-ezra-pound,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-new-machiavelli,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-rescue-romance-shallows,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
austen-sense-sensibility,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hergesheimer-java-head,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dunsany-five-plays,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
maugham-trembling-leaf-little,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
cather-youth-bright-medusa,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wilde-picture-dorian-grey,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bradby-psycho-analysis-place,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-almayers-folly,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lowell-tendencies-modern-american,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mackenzie-passionate-elopement,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lawrence-trespasser,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mencken-american-language,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stevenson-strange-case-dr,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
de-la-mare-memoirs-midget,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
gissing-new-grub-street,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
chesterton-manalive,6.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
a-e-candle-vision,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mackenzie-rich-relatives,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
strindberg-plays-august-strindberg-second,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
chekhov-letters-tchehov-family,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shakespeare-shakespeare,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stevenson-new-arabian-nights,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
tarkington-alice-adams,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
tomlinson-sea-jungle,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
oneill-moon-caribbees-six,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
harris-yellow-ticket-stories,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
george-stiff-lip-novel,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
powys-rabelais-life,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
keats-keats-poems,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
sinnett-growth-soul,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-let-forsyte-saga,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bennett-ghost,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-mob,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shaw-unsocial-socialist,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-typhoon,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
beerbohm-even-now,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
de-la-mare-poems-1901-1908,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dickinson-greek-view-life,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-outline-history,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
sandburg-smoke-steel,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
macy-spirit-american-literature,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hardy-mayor-casterbridge,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shaw-john-bulls-island,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wharton-age-innocence,5.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
freud-psychopathology-everyday-life,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
kaye-smith-joanna-godden,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mcalmon-hasty-bunch,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
young-young-physician,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
freud-dream-psychology,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
gissing-house-cobwebs,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
kaye-smith-green-apple-harvest,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
swinnerton-george-gissing-critical,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bennett-pretty-lady,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-history-mr-polly,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
west-henry-james,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
tagore-gitanjali,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
foster-coquette-history-eliza,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
george-confession-ursula-trent-2,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
murry-evolution-intellectual,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hammerton-george-meredith-life,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mckenna-sonia-two-worlds,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
george-second-blooming,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
kipling-diversity-creatures,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stevenson-kidnapped,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
scott-narrow-house,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
sinclair-mr-waddington-wyck,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
moore-muslin,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hergesheimer-cytherea,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dowden-shakspere-critical-study,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
oriordan-adam-caroline,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
morley-tales-rolltop-desk,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mais-books-writers,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
machen-secret-glory,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
gale-miss-lulu-bett,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
craig-theatre-advancing,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dreiser-jennie-gerhardt,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
merrick-paris-laughed-pranks,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
ashford-young-visiters-mister,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dowden-shakespeare,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-plays,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-passionate-friends,4.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-love-mr-lewisham,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
cannan-stucco-house,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wilde-plays-oscar-wilde,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
coke-pamela,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
anderson-windy-mcphersons,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
fitzgerald-side-paradise,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
gibbs-street-adventure,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
couperus-twilight-souls,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
chekhov-cooks-wedding-stories,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wright-life-walter-pater,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hearn-glimpses-unfamiliar-japan,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bell-since-cezanne,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
ellis-task-social-hygiene,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dreiser-titan,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
oriordan-london-story-adam,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
santayana-little-essays-drawn,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
gissing-private-papers-henry,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bibesco-blame,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stevenson-treasure-island,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bennett-mr-prohack,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
van-vechten-peter-whiffle,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hudson-elinor-colhouse,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
whistler-gentle-art-making,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
fletcher-lost-mr-linthwaite,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
gosse-books-table,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wilde-lord-arthur-saviles,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
fletcher-scarhaven-keep,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
carswell-open-door,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
barrie-half-hours,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shakespeare-songs-sonnets,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-boon,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lee-life-william-shakespeare,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dunsany-fifty-one-tales,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
machen-hill-dreams,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dell-hundredth-chance,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
tagore-king-dark-chamber,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
norris-brass-novel-marriage,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
james-roderick-hudson,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
ford-ladies-whose-bright,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mordell-erotic-motive-literature,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
james-house-novel,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
anderson-marching-men,3.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
huxley-mortal-coils,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mencken-prejudices,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
chekhov-chorus-girl-stories,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
eagle-books-general-first,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
walpole-wooden-horse,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stopes-married-love-love,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
arnim-vera,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
george-caliban,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
turgenev-two-friends-stories,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
london-strength-strong,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lawrence-prussian-officer-stories,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hergesheimer-linda-condon,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
london-road,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-new-worlds-old,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
london-night-born,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
merrick-conrad-quest-youth,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
wells-salvaging-civilization-probable,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
walpole-prelude-adventure,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
ibsen-hedda-gabler,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
emerson-poems,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bryher-development,2.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
